STATUS | wrapper  | 2023/12/21 03:44:21 | --> Wrapper Started as Console
INFO   | jvm 1    | 2023/12/21 03:44:36 | 	at com.atlassian.bamboo.agent.bootstrap.GetFingerprintResponse.<init>(GetFingerprintResponse.java:30) ~[bamboo-agent-bootstrap.jar:?]
INFO   | jvm 1    | 2023/12/21 03:44:36 | 	at com.atlassian.bamboo.agent.bootstrap.AgentContext.initFingerprint(AgentContext.java:133) ~[bamboo-agent-bootstrap.jar:?]
INFO   | jvm 1    | 2023/12/21 03:44:36 | 	at com.atlassian.bamboo.agent.bootstrap.AgentContext.initServerSession(AgentContext.java:114) ~[bamboo-agent-bootstrap.jar:?]
INFO   | jvm 1    | 2023/12/21 03:44:36 | 	at com.atlassian.bamboo.agent.bootstrap.AgentContext.run(AgentContext.java:101) ~[bamboo-agent-bootstrap.jar:?]
INFO   | jvm 1    | 2023/12/21 03:44:36 | 	at com.atlassian.bamboo.agent.bootstrap.RemoteAgentBootstrap.run(RemoteAgentBootstrap.java:118) ~[bamboo-agent-bootstrap.jar:?]
INFO   | jvm 1    | 2023/12/21 03:44:36 | 	at com.atlassian.bamboo.agent.bootstrap.RemoteAgentBootstrap.main(RemoteAgentBootstrap.java:56) ~[bamboo-agent-bootstrap.jar:?]
INFO   | jvm 1    | 2023/12/21 03:44:36 | 	at jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~[?:?]
INFO   | jvm 1    | 2023/12/21 03:44:36 | 	at jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) ~[?:?]
INFO   | jvm 1    | 2023/12/21 03:44:36 | 	at jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~[?:?]
INFO   | jvm 1    | 2023/12/21 03:44:36 | 	at java.lang.reflect.Method.invoke(Method.java:566) ~[?:?]
INFO   | jvm 1    | 2023/12/21 03:44:36 | 	at com.atlassian.bamboo.agent.bootstrap.AgentBootstrap.main(AgentBootstrap.java:21) ~[bamboo-agent-bootstrap.jar:?]
INFO   | jvm 1    | 2023/12/21 03:44:36 | 	at jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~[?:?]
INFO   | jvm 1    | 2023/12/21 03:44:36 | 	at jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) ~[?:?]
INFO   | jvm 1    | 2023/12/21 03:44:36 | 	at jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~[?:?]
INFO   | jvm 1    | 2023/12/21 03:44:36 | 	at java.lang.reflect.Method.invoke(Method.java:566) ~[?:?]
INFO   | jvm 1    | 2023/12/21 03:44:36 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:349) ~[wrapper.jar:3.5.50]
INFO   | jvm 1    | 2023/12/21 03:44:36 | 	at java.lang.Thread.run(Thread.java:829) ~[?:?]
STATUS | wrapper  | 2023/12/21 03:44:38 | on_exit trigger matched.  Restarting the JVM.  (Exit code: 1)
STATUS | wrapper  | 2023/12/21 03:44:43 | Launching a JVM...
INFO   | jvm 2    | 2023/12/21 03:44:44 | WrapperManager: Initializing...
